Timestamp,RTT_raw (nSec),RTT_est,Distance (meters)
2025-08-13 17:34:25.634305,4,4,0.6
2025-08-13 17:34:27.167159,6,6,0.9
2025-08-13 17:34:28.704222,5,5,0.75
2025-08-13 17:34:30.242359,4,4,0.6
2025-08-13 17:34:31.775419,5,5,0.75
2025-08-13 17:34:33.312264,6,6,0.9
2025-08-13 17:34:34.847778,5,5,0.75
2025-08-13 17:34:36.384010,5,5,0.75
2025-08-13 17:34:37.919822,6,6,0.9
2025-08-13 17:34:40.534203,5,5,0.75
2025-08-13 17:34:42.062082,4,4,0.6
2025-08-13 17:34:43.607329,4,4,0.6
2025-08-13 17:34:45.132053,6,6,0.9
2025-08-13 17:34:46.667777,4,4,0.6
2025-08-13 17:34:48.202681,4,4,0.6
2025-08-13 17:34:49.739771,4,4,0.6
2025-08-13 17:34:51.275383,5,5,0.75
2025-08-13 17:34:52.810850,3,3,0.45
2025-08-13 17:34:54.347123,2,2,0.3
2025-08-13 17:34:55.883680,3,3,0.45
2025-08-13 17:34:57.419879,4,4,0.6
2025-08-13 17:34:58.956849,4,4,0.6
2025-08-13 17:35:00.491252,3,3,0.45
2025-08-13 17:35:02.030766,6,6,0.9
2025-08-13 17:35:03.563082,6,6,0.9
2025-08-13 17:35:05.112365,7,7,1.05
2025-08-13 17:35:06.636124,5,5,0.75
2025-08-13 17:35:08.171652,5,5,0.75
2025-08-13 17:35:09.708275,6,6,0.9
2025-08-13 17:35:11.243118,6,6,0.9
2025-08-13 17:35:12.779667,7,7,1.05
2025-08-13 17:35:14.317637,5,5,0.75
2025-08-13 17:35:15.851765,8,8,1.2
2025-08-13 17:35:17.398671,6,6,0.9
2025-08-13 17:35:18.922890,5,5,0.75
2025-08-13 17:35:20.459566,4,4,0.6
2025-08-13 17:35:21.996340,6,6,0.9
2025-08-13 17:35:23.531917,5,5,0.75
2025-08-13 17:35:25.067423,5,5,0.75
2025-08-13 17:35:26.605103,5,5,0.75
2025-08-13 17:35:28.139534,6,6,0.9
2025-08-13 17:35:29.676227,5,5,0.75
2025-08-13 17:35:31.212303,7,7,1.05
2025-08-13 17:35:32.748363,6,6,0.9
2025-08-13 17:35:34.284269,5,5,0.75
2025-08-13 17:35:35.820059,6,6,0.9
2025-08-13 17:35:37.356591,5,5,0.75
2025-08-13 17:35:38.892737,5,5,0.75
2025-08-13 17:35:40.439532,5,5,0.75
2025-08-13 17:35:41.965743,5,5,0.75
2025-08-13 17:35:43.500520,5,5,0.75
2025-08-13 17:35:45.036785,6,6,0.9
2025-08-13 17:35:46.572611,5,5,0.75
2025-08-13 17:35:48.107594,3,3,0.45
2025-08-13 17:35:49.644948,3,3,0.45
2025-08-13 17:35:51.180634,4,4,0.6
2025-08-13 17:35:52.719107,4,4,0.6
2025-08-13 17:35:54.252809,4,4,0.6
2025-08-13 17:35:55.797693,4,4,0.6
2025-08-13 17:35:57.325179,3,3,0.45
2025-08-13 17:35:58.859978,4,4,0.6
2025-08-13 17:36:00.396309,5,5,0.75
2025-08-13 17:36:01.932414,5,5,0.75
2025-08-13 17:36:03.468784,5,5,0.75
2025-08-13 17:36:05.004960,3,3,0.45
2025-08-13 17:36:06.540399,3,3,0.45
2025-08-13 17:36:08.076424,4,4,0.6
2025-08-13 17:36:09.612581,5,5,0.75
2025-08-13 17:36:11.148615,15,15,2.25
2025-08-13 17:36:12.685226,18,18,2.7
2025-08-13 17:36:14.225908,16,16,2.4
2025-08-13 17:36:15.758004,21,21,3.15
2025-08-13 17:36:17.296038,18,18,2.7
2025-08-13 17:36:18.828686,25,25,3.75
2025-08-13 17:36:20.364754,20,20,3.0
2025-08-13 17:36:21.901934,23,23,3.45
2025-08-13 17:36:23.436669,22,22,3.3
2025-08-13 17:36:24.989058,21,21,3.15
2025-08-13 17:36:26.508313,22,22,3.3
2025-08-13 17:36:28.044563,22,22,3.3
