timestamp,RTT_raw (nSec),RTT_est,Distance (meters)
2025-08-18 21:57:35.107656,26,26,3.9
2025-08-18 21:57:36.644628,31,31,4.65
2025-08-18 21:57:38.180838,32,32,4.8
2025-08-18 21:57:39.717655,30,30,4.5
2025-08-18 21:57:41.252888,29,29,4.35
2025-08-18 21:57:42.789458,31,31,4.65
2025-08-18 21:57:44.324506,30,30,4.5
2025-08-18 21:57:45.860290,28,28,4.2
2025-08-18 21:57:47.396497,26,26,3.9
2025-08-18 21:57:48.932206,30,30,4.5
2025-08-18 21:57:50.468983,30,30,4.5
2025-08-18 21:57:52.005029,26,26,3.9
2025-08-18 21:57:53.541107,29,29,4.35
2025-08-18 21:57:55.078360,29,29,4.35
2025-08-18 21:57:56.612869,29,29,4.35
2025-08-18 21:57:58.149992,30,30,4.5
2025-08-18 21:57:59.695020,29,29,4.35
2025-08-18 21:58:01.220005,30,30,4.5
2025-08-18 21:58:02.757397,29,29,4.35
2025-08-18 21:58:04.292716,27,27,4.05
2025-08-18 21:58:05.828657,30,30,4.5
2025-08-18 21:58:07.364675,26,26,3.9
2025-08-18 21:58:08.901495,27,27,4.05
2025-08-18 21:58:10.436776,29,29,4.35
2025-08-18 21:58:11.973153,29,29,4.35
2025-08-18 21:58:13.508756,30,30,4.5
2025-08-18 21:58:15.044646,28,28,4.2
2025-08-18 21:58:16.581846,29,29,4.35
2025-08-18 21:58:18.117294,30,30,4.5
2025-08-18 21:58:19.653250,27,27,4.05
2025-08-18 21:58:21.192423,28,28,4.2
2025-08-18 21:58:22.725956,28,28,4.2
2025-08-18 21:58:24.262473,31,31,4.65
2025-08-18 21:58:25.797938,28,28,4.2
2025-08-18 21:58:27.333989,29,29,4.35
2025-08-18 21:58:28.869626,30,30,4.5
2025-08-18 21:58:30.407154,29,29,4.35
2025-08-18 21:58:31.940914,28,28,4.2
2025-08-18 21:58:33.477476,27,27,4.05
2025-08-18 21:58:35.013864,30,30,4.5
2025-08-18 21:58:36.550018,30,30,4.5
2025-08-18 21:58:38.086492,29,29,4.35
2025-08-18 21:58:39.622220,27,27,4.05
2025-08-18 21:58:41.157866,29,29,4.35
2025-08-18 21:58:42.693357,29,29,4.35
2025-08-18 21:58:44.228635,28,28,4.2
2025-08-18 21:58:45.765856,29,29,4.35
2025-08-18 21:58:47.302038,29,29,4.35
2025-08-18 21:58:48.837910,29,29,4.35
2025-08-18 21:58:50.374121,27,27,4.05
2025-08-18 21:58:51.909755,31,31,4.65
