ts_epoch_ms,anchor,anchor_mac,channel,rtt_raw_ns_min,rtt_est_ns,dist_est_m,frame_count,rtt_ps_min,rtt_ps_max,rtt_ps_mean,rtt_ps_median,rtt_ps_std,rssi_min_dbm,rssi_max_dbm,rssi_mean_dbm,rssi_median_dbm,rssi_std_db,csi_len,csi_data_json
1757932814751,A2,24:ec:4a:04:39:15,6,4,4,0.6,15,3125,4688,4375.533333333334,4688,624.9333688926808,-47,-47,-47,-47,0.0,128,"[0, 0, 12, 8, 12, 7, 12, 7, 12, 7, 11, 6, 11, 6, 11, 5, 11, 4, 11, 4, 11, 4, 11, 3, 11, 3, 11, 2, 12, 2, 12, 2, 12, 2, 12, 2, 12, 2, 12, 2, 12, 2, 12, 3, 11, 3, 11, 4, 11, 4, 10, 5, 10, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 10, 5, 10, 6, 10, 6, 10, 7, 10, 8, 10, 9, 9, 9, 9, 9, 9, 10, 8, 10, 8, 10, 8, 10, 8, 9, 9, 9, 9, 9, 9, 8, 9, 8, 10, 8, 10, 7, 11, 7, 11, 7, 12, 8, 12, 8, 12, 8, 12, 7]"
1757932815981,A2,24:ec:4a:04:39:15,6,6,6,0.9,15,3125,17188,6667.2,4688,5054.021371805492,-47,-47,-47,-47,0.0,128,"[0, 0, 12, -8, 12, -9, 11, -8, 11, -8, 11, -8, 10, -8, 9, -8, 9, -9, 8, -9, 8, -9, 8, -9, 7, -9, 7, -10, 7, -10, 7, -11, 7, -10, 7, -11, 7, -10, 8, -10, 8, -10, 8, -10, 8, -9, 9, -9, 9, -8, 9, -8, 9, -7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, -8, 8, -8, 9, -8, 10, -7, 11, -7, 11, -7, 12, -6, 12, -6, 12, -6, 13, -5, 12, -5, 12, -5, 12, -5, 12, -5, 12, -5, 11, -5, 11, -6, 11, -6, 12, -7, 12, -7, 11, -7, 12, -8, 12, -8, 12, -8, 12, -8, 12, -9]"
1757932817211,A2,24:ec:4a:04:39:15,6,8,8,1.2,15,3126,17188,8333.866666666667,4688,5864.69842210341,-47,-39,-46.46666666666667,-47,1.9955506062794355,128,"[0, 0, -8, 12, -8, 12, -8, 12, -8, 12, -7, 12, -7, 11, -6, 11, -6, 11, -5, 11, -4, 11, -4, 11, -3, 11, -3, 11, -3, 11, -2, 12, -2, 12, -3, 12, -3, 12, -3, 12, -3, 12, -4, 12, -4, 11, -5, 11, -5, 11, -5, 10, -6, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, 10, -6, 10, -7, 10, -8, 10, -8, 10, -9, 10, -9, 10, -10, 9, -10, 9, -11, 9, -11, 9, -11, 8, -11, 8, -10, 8, -10, 8, -10, 9, -9, 9, -9, 10, -9, 10, -9, 11, -8, 11, -8, 11, -8, 12, -8, 12, -8, 12, -8, 12]"
1757932820902,A2,24:ec:4a:04:39:15,6,5,5,0.75,15,3125,28125,5938,4688,5961.980241496947,-47,-47,-47,-47,0.0,128,"[0, 0, 0, -15, 0, -15, 0, -15, 0, -15, -1, -14, -1, -14, -1, -13, -2, -13, -2, -13, -3, -13, -3, -12, -4, -12, -4, -12, -4, -12, -5, -12, -5, -12, -5, -13, -4, -13, -4, -13, -4, -13, -3, -13, -3, -13, -2, -13, -2, -12, -1, -12, 0, -12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -12, -2, -12, -1, -13, 0, -13, 0, -13, 1, -14, 2, -14, 2, -14, 3, -14, 3, -14, 3, -14, 3, -13, 3, -13, 3, -13, 3, -13, 2, -13, 2, -13, 1, -14, 1, -14, 1, -14, 1, -14, 0, -15, 0, -15, 0, -15, 0, -15, 0, -15]"
1757932822124,A2,24:ec:4a:04:39:15,6,5,5,0.75,15,3126,17188,5208.933333333333,4688,3260.868585038178,-47,-47,-47,-47,0.0,128,"[0, 0, -12, 9, -12, 9, -12, 9, -11, 9, -11, 9, -10, 8, -10, 8, -9, 9, -9, 9, -8, 9, -8, 9, -7, 9, -7, 10, -7, 10, -7, 10, -7, 11, -7, 10, -7, 11, -7, 10, -8, 10, -8, 10, -8, 9, -8, 9, -9, 9, -9, 8, -9, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8, 8, -9, 8, -9, 8, -10, 8, -11, 7, -11, 7, -12, 6, -12, 6, -13, 6, -13, 6, -13, 6, -13, 5, -13, 5, -12, 5, -12, 6, -12, 6, -12, 6, -11, 7, -12, 7, -12, 7, -12, 8, -12, 8, -12, 9, -12, 9, -12, 9, -12, 9]"
1757932825829,A2,24:ec:4a:04:39:15,6,5,5,0.75,15,3125,15626,5000.533333333334,4688,2920.5058207250486,-47,-47,-47,-47,0.0,128,"[0, 0, -1, 15, -2, 14, -1, 14, -1, 13, -1, 13, -1, 13, 0, 12, 0, 12, 1, 12, 2, 12, 2, 11, 2, 11, 3, 11, 3, 11, 3, 11, 3, 11, 3, 12, 3, 12, 3, 12, 2, 12, 2, 12, 1, 12, 1, 11, 0, 11, 0, 11, -1, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 0, 11, -1, 12, -1, 12, -2, 12, -2, 13, -3, 13, -4, 13, -4, 13, -4, 13, -5, 13, -5, 12, -4, 12, -4, 12, -4, 12, -4, 12, -3, 12, -3, 12, -3, 13, -2, 13, -2, 13, -2, 14, -1, 14, -1, 14, -1, 14, -1, 15]"
1757932827043,A2,24:ec:4a:04:39:15,6,5,5,0.75,15,3125,17188,5000.533333333334,4688,3336.5682343123485,-47,-47,-47,-47,0.0,128,"[0, 0, -13, -7, -14, -7, -13, -7, -13, -7, -13, -6, -12, -6, -12, -6, -12, -5, -12, -4, -12, -4, -12, -3, -12, -3, -13, -2, -12, -2, -13, -2, -13, -2, -13, -2, -13, -2, -13, -3, -13, -3, -13, -3, -12, -4, -12, -4, -12, -4, -11, -5, -11, -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, -4, -11, -5, -12, -6, -11, -6, -12, -7, -11, -8, -11, -9, -11, -9, -11, -9, -11, -10, -11, -10, -10, -10, -10, -9, -10, -9, -10, -9, -11, -9, -11, -8, -11, -8, -12, -8, -12, -8, -12, -8, -13, -8, -13, -8, -14, -7, -14, -7, -13, -7]"
1757932830738,A2,24:ec:4a:04:39:15,6,5,5,0.75,15,3125,17188,5833.733333333334,4688,4210.670151993491,-48,-47,-47.06666666666667,-47,0.24944382578492943,128,"[0, 0, -12, -10, -12, -10, -12, -9, -11, -9, -12, -9, -11, -8, -11, -8, -11, -7, -11, -7, -11, -6, -12, -6, -12, -5, -12, -4, -12, -4, -12, -4, -12, -4, -13, -4, -13, -5, -13, -5, -12, -5, -12, -6, -12, -6, -11, -6, -11, -6, -10, -7, -10, -7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -6, -10, -7, -10, -8, -10, -9, -10, -9, -10, -10, -9, -11, -9, -11, -9, -11, -8, -12, -8, -11, -8, -11, -8, -11, -8, -11, -8, -11, -9, -11, -9, -11, -9, -10, -10, -10, -10, -10, -11, -10, -11, -10, -12, -10, -12, -10, -12, -10, -12, -10]"
1757932831963,A2,24:ec:4a:04:39:15,6,4,4,0.6,15,3125,4688,4063,4688,765.4656099394668,-47,-47,-47,-47,0.0,128,"[0, 0, -14, -7, -14, -6, -14, -6, -13, -6, -14, -6, -13, -5, -13, -5, -13, -4, -12, -4, -12, -3, -13, -2, -13, -2, -13, -1, -13, -1, -13, -1, -13, -1, -13, -1, -14, -1, -14, -2, -13, -2, -13, -3, -13, -3, -12, -3, -13, -3, -12, -4, -11, -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, -3, -12, -4, -12, -5, -13, -5, -12, -5, -13, -8, -12, -8, -12, -8, -11, -9, -11, -8, -12, -9, -11, -9, -11, -9, -11, -8, -11, -9, -12, -8, -12, -8, -12, -7, -12, -7, -13, -7, -13, -7, -13, -7, -13, -7, -15, -6, -14, -6, -15, -7]"
1757932833183,A2,24:ec:4a:04:39:15,6,5,5,0.75,15,3126,15626,5313.066666666667,4688,2783.51172601965,-47,-39,-46.46666666666667,-47,1.9955506062794355,128,"[0, 0, 14, 4, 13, 3, 13, 4, 13, 3, 13, 3, 12, 2, 12, 2, 12, 1, 12, 1, 11, 0, 11, 0, 12, 0, 12, -1, 12, -1, 12, -1, 12, -1, 12, -1, 13, -1, 12, -1, 12, -1, 12, 0, 12, 0, 12, 1, 11, 2, 11, 2, 11, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 11, 2, 11, 2, 12, 3, 12, 4, 12, 4, 12, 5, 12, 5, 12, 6, 11, 6, 11, 6, 11, 6, 11, 6, 11, 6, 11, 6, 11, 5, 11, 5, 11, 5, 12, 4, 12, 4, 13, 4, 13, 4, 13, 4, 14, 4, 14, 4, 14, 4]"
