dist_est_m,rssi_mean_dbm,rssi_min_dbm,rtt_min,rtt_k2,rtt_median,rtt_p10,rtt_p25,rtt_p75,rtt_iqr,rtt_mad,rtt_mean_trim,rtt_std,rtt_valid_ratio,csi_data_json
1.8,-45.0,-45.0,7813.0,9375.0,9376.0,9375.0,9375.5,10938.0,1562.5,1562.0,10938.0,4914.551115480097,1.0,"[0, 0, -13, 8, -13, 8, -13, 8, -12, 8, -12, 8, -11, 8, -11, 8, -11, 8, -10, 8, -9, 8, -9, 9, -8, 8, -8, 9, -8, 9, -8, 10, -8, 10, -8, 9, -8, 10, -9, 9, -9, 9, -9, 8, -9, 8, -9, 7, -9, 7, -9, 6, -9, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8, 7, -9, 7, -10, 7, -11, 7, -11, 7, -12, 6, -13, 6, -13, 5, -13, 5, -14, 4, -13, 4, -13, 4, -13, 4, -13, 4, -13, 4, -12, 5, -12, 5, -12, 6, -13, 6, -13, 7, -13, 7, -13, 7, -13, 8, -13, 8, -13, 8, -13, 8]"
1.5,-40.733333333333334,-45.0,7813.0,9375.0,9376.0,9375.0,9375.0,10938.0,1563.0,1.0,9766.0,3149.368348662245,1.0,"[0, 0, 14, 4, 14, 4, 13, 4, 14, 4, 13, 3, 13, 3, 13, 2, 12, 2, 12, 2, 12, 1, 12, 0, 12, 0, 12, -1, 12, -1, 12, -1, 12, -1, 13, -1, 12, -1, 12, 0, 12, 0, 12, 0, 12, 1, 11, 1, 11, 1, 10, 2, 10, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 11, 2, 11, 3, 11, 4, 12, 4, 11, 5, 12, 6, 11, 6, 11, 7, 11, 7, 11, 7, 11, 7, 11, 7, 11, 6, 11, 6, 11, 6, 11, 5, 12, 5, 12, 5, 13, 5, 13, 5, 13, 4, 14, 4, 14, 4, 14, 4, 14, 4]"
1.5,-45.0,-45.0,7813.0,9375.0,9376.0,9375.0,9375.0,9376.0,1.0,1.0,9375.583333333334,3169.9227007750346,1.0,"[0, 0, -9, 12, -9, 12, -9, 12, -8, 11, -8, 11, -8, 11, -7, 11, -6, 11, -6, 11, -5, 11, -5, 11, -5, 11, -4, 11, -4, 12, -4, 11, -4, 12, -4, 12, -4, 12, -4, 12, -5, 11, -5, 11, -6, 10, -6, 10, -6, 10, -6, 9, -7, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, 10, -6, 10, -7, 10, -8, 10, -8, 10, -9, 10, -9, 10, -10, 10, -10, 9, -11, 9, -11, 9, -11, 9, -11, 8, -10, 9, -10, 9, -10, 9, -10, 9, -9, 9, -9, 10, -9, 10, -9, 11, -9, 11, -9, 12, -9, 12, -9, 12, -9, 13]"
1.65,-40.2,-45.0,9375.0,9375.0,9376.0,9375.0,9375.5,10938.0,1562.5,1.0,9896.416666666666,4140.526357307191,1.0,"[0, 0, 14, -6, 13, -5, 13, -6, 13, -6, 13, -6, 12, -6, 12, -6, 11, -7, 10, -7, 10, -7, 10, -7, 9, -8, 9, -8, 9, -9, 9, -8, 10, -9, 9, -8, 9, -9, 10, -8, 10, -8, 10, -8, 10, -7, 10, -6, 10, -6, 9, -5, 10, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, -6, 10, -6, 10, -5, 11, -5, 12, -4, 13, -4, 13, -4, 13, -3, 13, -3, 13, -2, 13, -2, 13, -2, 13, -2, 13, -2, 13, -3, 12, -2, 13, -3, 12, -4, 13, -4, 13, -5, 13, -5, 13, -5, 13, -6, 14, -6, 14, -6, 14, -6]"
1.65,-41.8,-45.0,9375.0,9375.0,9376.0,9375.0,9375.0,10157.0,782.0,1.0,9635.833333333334,4200.429070146683,1.0,"[0, 0, -4, -15, -4, -15, -4, -15, -4, -14, -4, -14, -4, -13, -5, -13, -5, -12, -5, -12, -6, -12, -6, -12, -6, -11, -7, -11, -7, -11, -7, -11, -8, -11, -7, -11, -7, -11, -7, -12, -7, -11, -6, -11, -6, -11, -5, -11, -5, -11, -4, -11, -3, -11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -11, -4, -12, -4, -12, -3, -13, -3, -13, -2, -14, -2, -14, -1, -14, -1, -14, 0, -14, 0, -14, 0, -14, 0, -14, 0, -14, -1, -14, -1, -14, -1, -14, -2, -13, -2, -14, -3, -14, -3, -14, -4, -15, -4, -15, -4, -15, -4, -15, -4, -15]"
2.1,-39.666666666666664,-45.0,9375.0,9376.0,10938.0,9376.0,9376.0,21875.0,12499.0,1562.0,13021.5,5790.284620139343,1.0,"[0, 0, 4, -15, 4, -15, 4, -14, 4, -14, 3, -14, 3, -14, 3, -13, 2, -13, 1, -13, 1, -13, 1, -13, 0, -12, 0, -13, -1, -13, -1, -13, -1, -13, -1, -13, -1, -13, 0, -13, 0, -13, 1, -13, 1, -12, 2, -12, 2, -11, 2, -11, 3, -11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, -12, 1, -12, 2, -12, 3, -12, 4, -13, 4, -13, 5, -13, 5, -13, 6, -13, 7, -12, 7, -12, 7, -12, 7, -12, 6, -12, 6, -12, 5, -12, 5, -12, 5, -13, 5, -13, 4, -13, 4, -14, 4, -14, 4, -15, 4, -15, 4, -15, 4, -15]"
1.5,-37.0,-37.0,7813.0,9375.0,9376.0,9375.0,9376.0,10938.0,1562.0,1.0,9896.5,3135.465827521575,1.0,"[0, 0, 9, 12, 9, 11, 9, 11, 9, 10, 9, 10, 9, 10, 9, 9, 9, 8, 9, 8, 9, 7, 9, 7, 9, 6, 10, 6, 10, 6, 10, 6, 10, 6, 10, 6, 10, 7, 10, 7, 9, 7, 9, 7, 8, 7, 8, 8, 7, 8, 7, 8, 6, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 8, 7, 8, 8, 8, 9, 8, 9, 8, 10, 7, 11, 7, 11, 6, 12, 6, 12, 5, 12, 5, 12, 6, 11, 6, 12, 6, 11, 6, 11, 6, 11, 7, 10, 7, 11, 8, 11, 8, 11, 9, 11, 9, 11, 9, 11, 9, 11, 10, 11]"
1.65,-39.13333333333333,-45.0,9375.0,9375.0,9376.0,9375.0,9375.0,10157.0,782.0,1.0,9635.916666666666,4473.042734723945,1.0,"[0, 0, -13, -9, -13, -9, -12, -9, -12, -9, -12, -8, -12, -8, -12, -7, -12, -7, -12, -6, -12, -6, -12, -5, -12, -4, -12, -4, -12, -4, -12, -4, -12, -4, -12, -4, -13, -4, -13, -5, -12, -5, -12, -5, -11, -6, -11, -6, -10, -6, -10, -6, -9, -7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, -5, -11, -6, -11, -7, -11, -8, -11, -8, -11, -9, -10, -10, -10, -10, -10, -11, -10, -11, -9, -11, -9, -11, -9, -11, -9, -10, -9, -10, -10, -10, -10, -10, -10, -10, -11, -9, -11, -9, -12, -9, -12, -9, -13, -9, -13, -9, -13, -9, -13, -10]"
1.8,-38.6,-45.0,9375.0,9375.0,9376.0,9375.0,9375.0,10938.0,1563.0,1.0,10677.583333333334,5141.10884883364,1.0,"[0, 0, 14, -4, 14, -4, 13, -4, 14, -4, 13, -5, 13, -5, 12, -5, 12, -5, 11, -6, 11, -6, 11, -6, 10, -7, 10, -7, 10, -7, 10, -8, 10, -8, 10, -8, 10, -8, 10, -7, 10, -7, 10, -6, 10, -6, 11, -5, 11, -5, 10, -4, 10, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, -5, 10, -5, 11, -4, 11, -3, 12, -3, 13, -3, 13, -2, 13, -1, 13, -1, 13, 0, 13, 0, 13, 0, 13, 0, 13, -1, 13, -1, 13, -1, 12, -2, 13, -2, 13, -3, 13, -3, 13, -3, 14, -4, 14, -4, 14, -4, 14, -4, 14, -4]"
1.8,-40.733333333333334,-45.0,9375.0,9375.0,10938.0,9375.0,9375.0,10938.0,1563.0,1563.0,11068.083333333334,5006.568615995057,1.0,"[0, 0, 11, 10, 10, 9, 10, 9, 10, 9, 10, 8, 10, 8, 10, 7, 10, 7, 10, 7, 10, 6, 10, 5, 11, 5, 10, 5, 11, 4, 11, 4, 11, 5, 11, 5, 11, 5, 11, 5, 10, 6, 10, 6, 10, 6, 9, 6, 9, 6, 8, 6, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 9, 6, 9, 7, 9, 8, 9, 8, 9, 9, 9, 10, 8, 10, 8, 10, 8, 10, 7, 11, 7, 11, 7, 10, 7, 10, 7, 10, 7, 10, 8, 10, 8, 9, 9, 9, 9, 9, 10, 9, 10, 9, 11, 9, 11, 9, 11, 9, 11, 9]"
