Timestamp,RTT_raw (nSec),RTT_est,Distance (meters)
2025/8/13 17:34:26.000,4,4,0.6
2025/8/13 17:34:27.167,6,6,0.9
2025/8/13 17:34:28.704,5,5,0.75
2025/8/13 17:34:30.242,4,4,0.6
2025/8/13 17:34:31.775,5,5,0.75
2025/8/13 17:34:33.312,6,6,0.9
2025/8/13 17:34:34.848,5,5,0.75
2025/8/13 17:34:36.384,5,5,0.75
2025/8/13 17:34:37.920,6,6,0.9
2025/8/13 17:34:40.534,5,5,0.75
2025/8/13 17:34:42.062,4,4,0.6
2025/8/13 17:34:43.607,4,4,0.6
2025/8/13 17:34:45.132,6,6,0.9
2025/8/13 17:34:46.668,4,4,0.6
2025/8/13 17:34:48.203,4,4,0.6
2025/8/13 17:34:49.740,4,4,0.6
2025/8/13 17:34:51.275,5,5,0.75
2025/8/13 17:34:52.811,3,3,0.45
2025/8/13 17:34:54.347,2,2,0.3
2025/8/13 17:34:56.000,3,3,0.45
2025/8/13 17:34:57.420,4,4,0.6
2025/8/13 17:34:58.957,4,4,0.6
2025/8/13 17:35:00.491,3,3,0.45
2025/8/13 17:35:02.031,6,6,0.9
2025/8/13 17:35:03.563,6,6,0.9
2025/8/13 17:35:05.112,7,7,1.05
2025/8/13 17:35:07.000,5,5,0.75
2025/8/13 17:35:08.172,5,5,0.75
2025/8/13 17:35:09.708,6,6,0.9
2025/8/13 17:35:11.243,6,6,0.9
2025/8/13 17:35:12.780,7,7,1.05
2025/8/13 17:35:14.318,5,5,0.75
2025/8/13 17:35:15.852,8,8,1.2
2025/8/13 17:35:17.399,6,6,0.9
2025/8/13 17:35:18.923,5,5,0.75
2025/8/13 17:35:20.460,4,4,0.6
2025/8/13 17:35:21.996,6,6,0.9
2025/8/13 17:35:23.532,5,5,0.75
2025/8/13 17:35:25.067,5,5,0.75
2025/8/13 17:35:26.605,5,5,0.75
2025/8/13 17:35:28.140,6,6,0.9
2025/8/13 17:35:29.676,5,5,0.75
2025/8/13 17:35:31.212,7,7,1.05
2025/8/13 17:35:32.748,6,6,0.9
2025/8/13 17:35:34.284,5,5,0.75
2025/8/13 17:35:35.820,6,6,0.9
2025/8/13 17:35:37.357,5,5,0.75
2025/8/13 17:35:38.893,5,5,0.75
2025/8/13 17:35:40.440,5,5,0.75
2025/8/13 17:35:41.966,5,5,0.75
2025/8/13 17:35:43.501,5,5,0.75
2025/8/13 17:35:45.037,6,6,0.9
2025/8/13 17:35:46.573,5,5,0.75
2025/8/13 17:35:48.108,3,3,0.45
2025/8/13 17:35:49.645,3,3,0.45
2025/8/13 17:35:51.181,4,4,0.6
2025/8/13 17:35:52.719,4,4,0.6
2025/8/13 17:35:54.253,4,4,0.6
2025/8/13 17:35:55.798,4,4,0.6
2025/8/13 17:35:57.325,3,3,0.45
2025/8/13 17:35:58.860,4,4,0.6
2025/8/13 17:36:00.396,5,5,0.75
2025/8/13 17:36:01.932,5,5,0.75
2025/8/13 17:36:03.469,5,5,0.75
2025/8/13 17:36:05.005,3,3,0.45
2025/8/13 17:36:06.540,3,3,0.45
2025/8/13 17:36:08.076,4,4,0.6
2025/8/13 17:36:09.613,5,5,0.75
2025/8/13 17:36:11.149,15,15,2.25
2025/8/13 17:36:12.685,18,18,2.7
2025/8/13 17:36:14.226,16,16,2.4
2025/8/13 17:36:15.758,21,21,3.15
2025/8/13 17:36:17.296,18,18,2.7
2025/8/13 17:36:18.829,25,25,3.75
2025/8/13 17:36:20.365,20,20,3
