Timestamp,RTT_raw (nSec),RTT_est,Distance (meters),,Timestamp,RTT_raw (nSec),RTT_est,Distance (meters),,Timestamp,RTT_raw (nSec),RTT_est,Distance (meters),,Timestamp,RTT_raw (nSec),RTT_est,Distance (meters)
2025/5/7 12:12,37,37,5.55,,2025/5/7 12:14,46,46,6.9,,2025/5/7 12:23,56,56,8.4,,2025/5/7 12:25,83,83,12.45
2025/5/7 12:12,37,37,5.55,,2025/5/7 12:15,69,69,10.35,,2025/5/7 12:23,62,62,9.3,,2025/5/7 12:25,81,81,12.15
2025/5/7 12:12,39,39,5.85,,2025/5/7 12:15,65,65,9.75,,2025/5/7 12:23,60,60,9,,2025/5/7 12:25,84,84,12.6
2025/5/7 12:12,39,39,5.85,,2025/5/7 12:15,64,64,9.6,,2025/5/7 12:23,57,57,8.55,,2025/5/7 12:25,102,102,15.3
2025/5/7 12:12,43,43,6.45,,2025/5/7 12:15,63,63,9.45,,2025/5/7 12:23,56,56,8.4,,2025/5/7 12:26,82,82,12.3
2025/5/7 12:12,44,44,6.6,,2025/5/7 12:15,58,58,8.7,,2025/5/7 12:23,56,56,8.4,,2025/5/7 12:26,83,83,12.45
2025/5/7 12:12,43,43,6.45,,2025/5/7 12:15,59,59,8.85,,2025/5/7 12:23,57,57,8.55,,2025/5/7 12:26,94,94,14.1
2025/5/7 12:12,42,42,6.3,,2025/5/7 12:15,47,47,7.05,,2025/5/7 12:23,58,58,8.7,,2025/5/7 12:26,101,101,15.15
2025/5/7 12:12,43,43,6.45,,2025/5/7 12:15,48,48,7.2,,2025/5/7 12:23,59,59,8.85,,2025/5/7 12:26,101,101,15.15
2025/5/7 12:12,41,41,6.15,,2025/5/7 12:15,68,68,10.2,,2025/5/7 12:23,58,58,8.7,,2025/5/7 12:26,92,92,13.8
2025/5/7 12:12,43,43,6.45,,2025/5/7 12:15,58,58,8.7,,2025/5/7 12:23,56,56,8.4,,2025/5/7 12:26,81,81,12.15
2025/5/7 12:12,41,41,6.15,,2025/5/7 12:15,50,50,7.5,,2025/5/7 12:23,56,56,8.4,,2025/5/7 12:26,69,69,10.35
2025/5/7 12:12,44,44,6.6,,2025/5/7 12:15,46,46,6.9,,2025/5/7 12:23,56,56,8.4,,2025/5/7 12:26,77,77,11.55
2025/5/7 12:12,37,37,5.55,,2025/5/7 12:15,45,45,6.75,,2025/5/7 12:23,58,58,8.7,,2025/5/7 12:26,75,75,11.25
2025/5/7 12:12,38,38,5.7,,2025/5/7 12:15,51,51,7.65,,2025/5/7 12:23,55,55,8.25,,2025/5/7 12:26,86,86,12.9
2025/5/7 12:12,39,39,5.85,,2025/5/7 12:15,55,55,8.25,,2025/5/7 12:23,57,57,8.55,,2025/5/7 12:26,81,81,12.15
2025/5/7 12:12,39,39,5.85,,2025/5/7 12:15,53,53,7.95,,2025/5/7 12:23,55,55,8.25,,2025/5/7 12:26,76,76,11.4
2025/5/7 12:12,36,36,5.4,,2025/5/7 12:15,54,54,8.1,,2025/5/7 12:23,56,56,8.4,,2025/5/7 12:26,82,82,12.3
2025/5/7 12:12,34,34,5.1,,2025/5/7 12:15,52,52,7.8,,2025/5/7 12:23,55,55,8.25,,2025/5/7 12:26,59,59,8.85
2025/5/7 12:12,36,36,5.4,,2025/5/7 12:15,71,71,10.65,,2025/5/7 12:23,56,56,8.4,,2025/5/7 12:26,62,62,9.3
2025/5/7 12:12,34,34,5.1,,2025/5/7 12:15,75,75,11.25,,2025/5/7 12:23,58,58,8.7,,2025/5/7 12:26,63,63,9.45
2025/5/7 12:12,34,34,5.1,,2025/5/7 12:15,82,82,12.3,,2025/5/7 12:23,58,58,8.7,,2025/5/7 12:26,71,71,10.65
2025/5/7 12:12,33,33,4.95,,2025/5/7 12:15,102,102,15.3,,2025/5/7 12:24,58,58,8.7,,2025/5/7 12:26,69,69,10.35
2025/5/7 12:12,34,34,5.1,,2025/5/7 12:15,101,101,15.15,,2025/5/7 12:24,57,57,8.55,,2025/5/7 12:26,69,69,10.35
2025/5/7 12:12,35,35,5.25,,2025/5/7 12:15,100,100,15,,2025/5/7 12:24,57,57,8.55,,2025/5/7 12:26,67,67,10.05
2025/5/7 12:12,35,35,5.25,,2025/5/7 12:15,91,91,13.65,,2025/5/7 12:24,55,55,8.25,,2025/5/7 12:26,69,69,10.35
2025/5/7 12:12,33,33,4.95,,2025/5/7 12:15,106,106,15.9,,2025/5/7 12:24,57,57,8.55,,2025/5/7 12:26,68,68,10.2
2025/5/7 12:12,34,34,5.1,,2025/5/7 12:15,106,106,15.9,,2025/5/7 12:24,57,57,8.55,,2025/5/7 12:26,70,70,10.5
2025/5/7 12:12,36,36,5.4,,2025/5/7 12:15,107,107,16.05,,2025/5/7 12:24,58,58,8.7,,2025/5/7 12:26,64,64,9.6
2025/5/7 12:12,33,33,4.95,,2025/5/7 12:15,113,113,16.95,,2025/5/7 12:24,57,57,8.55,,2025/5/7 12:26,70,70,10.5
2025/5/7 12:12,35,35,5.25,,2025/5/7 12:15,86,86,12.9,,2025/5/7 12:24,58,58,8.7,,2025/5/7 12:26,67,67,10.05
2025/5/7 12:12,36,36,5.4,,2025/5/7 12:15,81,81,12.15,,2025/5/7 12:24,56,56,8.4,,2025/5/7 12:26,74,74,11.1
2025/5/7 12:12,37,37,5.55,,2025/5/7 12:15,84,84,12.6,,2025/5/7 12:24,55,55,8.25,,2025/5/7 12:26,67,67,10.05
2025/5/7 12:12,34,34,5.1,,2025/5/7 12:15,77,77,11.55,,2025/5/7 12:24,57,57,8.55,,2025/5/7 12:26,65,65,9.75
2025/5/7 12:13,36,36,5.4,,2025/5/7 12:15,72,72,10.8,,2025/5/7 12:24,56,56,8.4,,2025/5/7 12:26,64,64,9.6
2025/5/7 12:13,38,38,5.7,,2025/5/7 12:16,69,69,10.35,,2025/5/7 12:24,58,58,8.7,,2025/5/7 12:26,62,62,9.3
2025/5/7 12:13,33,33,4.95,,2025/5/7 12:16,72,72,10.8,,2025/5/7 12:24,57,57,8.55,,2025/5/7 12:26,66,66,9.9
2025/5/7 12:13,36,36,5.4,,2025/5/7 12:16,75,75,11.25,,2025/5/7 12:24,58,58,8.7,,2025/5/7 12:26,67,67,10.05
2025/5/7 12:13,35,35,5.25,,2025/5/7 12:16,76,76,11.4,,2025/5/7 12:24,56,56,8.4,,2025/5/7 12:27,66,66,9.9
2025/5/7 12:13,35,35,5.25,,2025/5/7 12:16,87,87,13.05,,2025/5/7 12:24,56,56,8.4,,2025/5/7 12:27,67,67,10.05
2025/5/7 12:13,35,35,5.25,,2025/5/7 12:16,86,86,12.9,,2025/5/7 12:24,59,59,8.85,,2025/5/7 12:27,66,66,9.9
2025/5/7 12:13,33,33,4.95,,2025/5/7 12:16,87,87,13.05,,2025/5/7 12:24,56,56,8.4,,2025/5/7 12:27,73,73,10.95
2025/5/7 12:13,35,35,5.25,,2025/5/7 12:16,82,82,12.3,,2025/5/7 12:24,57,57,8.55,,2025/5/7 12:27,69,69,10.35
2025/5/7 12:13,37,37,5.55,,2025/5/7 12:16,64,64,9.6,,2025/5/7 12:24,58,58,8.7,,2025/5/7 12:27,66,66,9.9
2025/5/7 12:13,35,35,5.25,,2025/5/7 12:16,57,57,8.55,,2025/5/7 12:24,55,55,8.25,,2025/5/7 12:27,80,80,12
2025/5/7 12:13,36,36,5.4,,2025/5/7 12:16,59,59,8.85,,2025/5/7 12:24,57,57,8.55,,2025/5/7 12:27,78,78,11.7
2025/5/7 12:13,38,38,5.7,,2025/5/7 12:16,53,53,7.95,,2025/5/7 12:24,57,57,8.55,,2025/5/7 12:27,74,74,11.1
2025/5/7 12:13,41,41,6.15,,2025/5/7 12:16,48,48,7.2,,2025/5/7 12:24,57,57,8.55,,2025/5/7 12:27,74,74,11.1
2025/5/7 12:13,40,40,6,,2025/5/7 12:16,45,45,6.75,,2025/5/7 12:24,63,63,9.45,,2025/5/7 12:27,76,76,11.4
2025/5/7 12:13,39,39,5.85,,2025/5/7 12:16,45,45,6.75,,2025/5/7 12:24,68,68,10.2,,2025/5/7 12:27,85,85,12.75
,37.2,37.2,5.58,,,70.2,70.2,10.53,,,57.3,57.3,8.595,,,74.74,74.74,11.211
,10.36,10.36,0.2331,,,369.84,369.84,8.3214,,,4.85,4.85,0.109125,,,108.5924,108.5924,2.443329
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
