Timestamp,RTT_raw (nSec),RTT_est,Distance (meters)
2025-05-07 12:23:22,56,56,8.4
2025-05-07 12:23:23,62,62,9.3
2025-05-07 12:23:25,60,60,9.0
2025-05-07 12:23:27,57,57,8.55
2025-05-07 12:23:29,56,56,8.4
2025-05-07 12:23:30,56,56,8.4
2025-05-07 12:23:32,57,57,8.55
2025-05-07 12:23:34,58,58,8.7
2025-05-07 12:23:36,59,59,8.85
2025-05-07 12:23:37,58,58,8.7
2025-05-07 12:23:39,56,56,8.4
2025-05-07 12:23:41,56,56,8.4
2025-05-07 12:23:43,56,56,8.4
2025-05-07 12:23:44,58,58,8.7
2025-05-07 12:23:46,55,55,8.25
2025-05-07 12:23:48,57,57,8.55
2025-05-07 12:23:49,55,55,8.25
2025-05-07 12:23:51,56,56,8.4
2025-05-07 12:23:53,55,55,8.25
2025-05-07 12:23:55,56,56,8.4
2025-05-07 12:23:56,58,58,8.7
2025-05-07 12:23:58,58,58,8.7
2025-05-07 12:24:00,58,58,8.7
2025-05-07 12:24:02,57,57,8.55
2025-05-07 12:24:03,57,57,8.55
2025-05-07 12:24:05,55,55,8.25
2025-05-07 12:24:07,57,57,8.55
2025-05-07 12:24:09,57,57,8.55
2025-05-07 12:24:10,58,58,8.7
2025-05-07 12:24:12,57,57,8.55
2025-05-07 12:24:14,58,58,8.7
2025-05-07 12:24:16,56,56,8.4
2025-05-07 12:24:17,55,55,8.25
2025-05-07 12:24:19,57,57,8.55
2025-05-07 12:24:21,56,56,8.4
2025-05-07 12:24:23,58,58,8.7
2025-05-07 12:24:24,57,57,8.55
2025-05-07 12:24:26,58,58,8.7
2025-05-07 12:24:28,56,56,8.4
2025-05-07 12:24:30,56,56,8.4
2025-05-07 12:24:31,59,59,8.85
2025-05-07 12:24:33,56,56,8.4
2025-05-07 12:24:35,57,57,8.55
2025-05-07 12:24:36,58,58,8.7
2025-05-07 12:24:38,55,55,8.25
2025-05-07 12:24:40,57,57,8.55
2025-05-07 12:24:42,57,57,8.55
2025-05-07 12:24:43,57,57,8.55
2025-05-07 12:24:45,63,63,9.45
2025-05-07 12:24:47,68,68,10.2
