Timestamp,RTT_raw (nSec),RTT_est,Distance (meters)
2025-05-07 12:25:54,83,83,12.45
2025-05-07 12:25:55,81,81,12.15
2025-05-07 12:25:57,84,84,12.6
2025-05-07 12:25:59,102,102,15.3
2025-05-07 12:26:01,82,82,12.3
2025-05-07 12:26:02,83,83,12.45
2025-05-07 12:26:04,94,94,14.1
2025-05-07 12:26:06,101,101,15.15
2025-05-07 12:26:08,101,101,15.15
2025-05-07 12:26:09,92,92,13.8
2025-05-07 12:26:11,81,81,12.15
2025-05-07 12:26:13,69,69,10.35
2025-05-07 12:26:15,77,77,11.55
2025-05-07 12:26:16,75,75,11.25
2025-05-07 12:26:18,86,86,12.9
2025-05-07 12:26:20,81,81,12.15
2025-05-07 12:26:22,76,76,11.4
2025-05-07 12:26:23,82,82,12.3
2025-05-07 12:26:25,59,59,8.85
2025-05-07 12:26:27,62,62,9.3
2025-05-07 12:26:29,63,63,9.45
2025-05-07 12:26:30,71,71,10.65
2025-05-07 12:26:32,69,69,10.35
2025-05-07 12:26:34,69,69,10.35
2025-05-07 12:26:35,67,67,10.05
2025-05-07 12:26:37,69,69,10.35
2025-05-07 12:26:39,68,68,10.2
2025-05-07 12:26:41,70,70,10.5
2025-05-07 12:26:42,64,64,9.6
2025-05-07 12:26:44,70,70,10.5
2025-05-07 12:26:46,67,67,10.05
2025-05-07 12:26:48,74,74,11.1
2025-05-07 12:26:49,67,67,10.05
2025-05-07 12:26:51,65,65,9.75
2025-05-07 12:26:53,64,64,9.6
2025-05-07 12:26:55,62,62,9.3
2025-05-07 12:26:56,66,66,9.9
2025-05-07 12:26:58,67,67,10.05
2025-05-07 12:27:00,66,66,9.9
2025-05-07 12:27:02,67,67,10.05
2025-05-07 12:27:03,66,66,9.9
2025-05-07 12:27:05,73,73,10.95
2025-05-07 12:27:07,69,69,10.35
2025-05-07 12:27:09,66,66,9.9
2025-05-07 12:27:10,80,80,12.0
2025-05-07 12:27:12,78,78,11.7
2025-05-07 12:27:14,74,74,11.1
2025-05-07 12:27:16,74,74,11.1
2025-05-07 12:27:17,76,76,11.4
2025-05-07 12:27:19,85,85,12.75
2025-05-07 12:27:21,81,81,12.15
2025-05-07 12:27:22,78,78,11.7
2025-05-07 12:27:24,74,74,11.1
2025-05-07 12:27:26,78,78,11.7
2025-05-07 12:27:28,76,76,11.4
2025-05-07 12:27:29,78,78,11.7
2025-05-07 12:27:31,84,84,12.6
2025-05-07 12:27:33,93,93,13.95
2025-05-07 12:27:35,80,80,12.0
2025-05-07 12:27:36,83,83,12.45
2025-05-07 12:27:38,76,76,11.4
2025-05-07 12:27:40,68,68,10.2
2025-05-07 12:27:42,75,75,11.25
