Timestamp,RTT (nSec),Distance (meters)
2025-04-28 22:31:15,14,2.1
2025-04-28 22:31:16,16,2.4
2025-04-28 22:31:18,16,2.4
2025-04-28 22:31:20,15,2.25
2025-04-28 22:31:21,14,2.1
2025-04-28 22:31:23,15,2.25
2025-04-28 22:31:25,15,2.25
2025-04-28 22:31:26,20,3.0
2025-04-28 22:31:28,22,3.3
2025-04-28 22:31:29,21,3.15
2025-04-28 22:31:31,19,2.85
2025-04-28 22:31:33,21,3.15
2025-04-28 22:31:34,20,3.0
2025-04-28 22:31:36,21,3.15
2025-04-28 22:31:38,16,2.4
2025-04-28 22:31:39,21,3.15
2025-04-28 22:31:41,26,3.9
2025-04-28 22:31:43,35,5.25
2025-04-28 22:31:44,46,6.9
2025-04-28 22:31:46,47,7.05
2025-04-28 22:31:47,43,6.45
2025-04-28 22:31:49,47,7.05
2025-04-28 22:31:51,44,6.6
2025-04-28 22:31:52,45,6.75
2025-04-28 22:31:54,48,7.2
2025-04-28 22:31:56,45,6.75
2025-04-28 22:31:57,48,7.2
2025-04-28 22:31:59,50,7.5
2025-04-28 22:32:01,48,7.2
2025-04-28 22:32:02,49,7.35
2025-04-28 22:32:04,46,6.9
2025-04-28 22:32:05,48,7.2
2025-04-28 22:32:07,46,6.9
2025-04-28 22:32:09,48,7.2
2025-04-28 22:32:10,49,7.35
2025-04-28 22:32:12,46,6.9
2025-04-28 22:32:14,46,6.9
2025-04-28 22:32:15,48,7.2
2025-04-28 22:32:17,47,7.05
2025-04-28 22:32:19,47,7.05
2025-04-28 22:32:20,50,7.5
2025-04-28 22:32:22,46,6.9
2025-04-28 22:32:23,49,7.35
2025-04-28 22:32:25,47,7.05
2025-04-28 22:32:27,46,6.9
2025-04-28 22:32:28,48,7.2
2025-04-28 22:32:30,46,6.9
2025-04-28 22:32:32,47,7.05
2025-04-28 22:32:33,48,7.2
2025-04-28 22:32:35,47,7.05
2025-04-28 22:32:37,49,7.35
2025-04-28 22:32:38,48,7.2
2025-04-28 22:32:40,50,7.5
2025-04-28 22:32:42,47,7.05
2025-04-28 22:32:43,45,6.75
2025-04-28 22:32:45,45,6.75
2025-04-28 22:32:46,48,7.2
2025-04-28 22:32:48,49,7.35
2025-04-28 22:32:50,46,6.9
2025-04-28 22:32:51,47,7.05
2025-04-28 22:32:53,46,6.9
2025-04-28 22:32:55,46,6.9
2025-04-28 22:32:56,37,5.55
2025-04-28 22:32:58,41,6.15
2025-04-28 22:33:00,41,6.15
